author,authorLabel,genderLabel,orcid
https://database.factgrid.de/entity/Q147709,Bärbel Kröger,Weibliches Geschlecht,0000-0001-7179-6438
https://database.factgrid.de/entity/Q396699,Maria Hinzmann,Weibliches Geschlecht,0000-0001-7199-1436
https://database.factgrid.de/entity/Q1380226,Christopher Nunn,Männliches Geschlecht,0000-0001-7208-8636
https://database.factgrid.de/entity/Q396552,Janina Jacke,Männliches Geschlecht,0000-0001-7217-3136
https://database.factgrid.de/entity/Q396654,Klaus Illmayer,Männliches Geschlecht,0000-0001-7253-996X
https://database.factgrid.de/entity/Q1380124,Maximilian Benz,Männliches Geschlecht,0000-0001-7262-7679
https://database.factgrid.de/entity/Q396391,Christian Wolff,Männliches Geschlecht,0000-0001-7278-8595
https://database.factgrid.de/entity/Q989548,Aline Deicke,Weibliches Geschlecht,0000-0001-7347-7625
https://database.factgrid.de/entity/Q396700,Katharina Dietz,Weibliches Geschlecht,0000-0001-7405-3656
https://database.factgrid.de/entity/Q396441,Marten Düring,Männliches Geschlecht,0000-0001-7411-771X
https://database.factgrid.de/entity/Q989324,Volodymyr Kushnarenko,Männliches Geschlecht,0000-0001-7427-2410
https://database.factgrid.de/entity/Q1380212,Jana-Katharina Mende,Weibliches Geschlecht,0000-0001-7433-4351
https://database.factgrid.de/entity/Q989325,Julian Häußler,Männliches Geschlecht,0000-0001-7490-8570
https://database.factgrid.de/entity/Q989326,Richard Diebel,Männliches Geschlecht,0000-0001-7525-7175
https://database.factgrid.de/entity/Q396691,André Blessing,Männliches Geschlecht,0000-0001-7573-578X
https://database.factgrid.de/entity/Q883206,Robert Stephan,Männliches Geschlecht,0000-0001-7605-7415
https://database.factgrid.de/entity/Q396661,Annette Gerstenberg,Weibliches Geschlecht,0000-0001-7647-6986
https://database.factgrid.de/entity/Q989526,Angila Vetter,Weibliches Geschlecht,0000-0001-7662-191X
https://database.factgrid.de/entity/Q1380281,Serena Tolino,Weibliches Geschlecht,0000-0001-7740-5805
https://database.factgrid.de/entity/Q397466,Günther Görz,Männliches Geschlecht,0000-0001-7769-3050
https://database.factgrid.de/entity/Q396646,Keli Du,Männliches Geschlecht,0000-0001-7800-0682
https://database.factgrid.de/entity/Q396676,Michael Krewet,Männliches Geschlecht,0000-0001-7807-6089
https://database.factgrid.de/entity/Q1380113,Raven Adam,Männliches Geschlecht,0000-0001-7841-2601
https://database.factgrid.de/entity/Q396456,Henning Gebhard,Männliches Geschlecht,0000-0001-7853-1950
https://database.factgrid.de/entity/Q396463,Corinna Dziudzia,Weibliches Geschlecht,0000-0001-7965-619X
https://database.factgrid.de/entity/Q1380225,Joshua Neumann,Männliches Geschlecht,0000-0001-7970-5553
https://database.factgrid.de/entity/Q396746,Elisabeth Mollenhauer,Weibliches Geschlecht,0000-0001-8034-7191
https://database.factgrid.de/entity/Q396707,Jan Horstmann,Männliches Geschlecht,0000-0001-8047-2232
https://database.factgrid.de/entity/Q1006511,Robert Badura,Männliches Geschlecht,0000-0001-8048-6271
https://database.factgrid.de/entity/Q396793,Nadine Dietz,Weibliches Geschlecht,0000-0001-8060-5947
https://database.factgrid.de/entity/Q397654,Claudia Resch,Weibliches Geschlecht,0000-0001-8066-7363
https://database.factgrid.de/entity/Q458521,Claudine Moulin,Weibliches Geschlecht,0000-0001-8091-3456
https://database.factgrid.de/entity/Q989386,Florian Atzenhofer-Baumgartner,Männliches Geschlecht,0000-0001-8157-8629
https://database.factgrid.de/entity/Q76282,Thorsten Wübbena,Männliches Geschlecht,0000-0001-8172-6097
https://database.factgrid.de/entity/Q396801,Anna Reimann,Weibliches Geschlecht,0000-0001-8225-7851
https://database.factgrid.de/entity/Q396645,Fabian Cremer,Männliches Geschlecht,0000-0001-8251-9727
https://database.factgrid.de/entity/Q989327,Katrin Henzel,Weibliches Geschlecht,0000-0001-8260-223X
https://database.factgrid.de/entity/Q396767,Reinhard Altenhöner,Männliches Geschlecht,0000-0001-8274-780X
https://database.factgrid.de/entity/Q397866,Sebastian Schmideler,Männliches Geschlecht,0000-0001-8276-0043
https://database.factgrid.de/entity/Q396748,Frederike Neuber,Weibliches Geschlecht,0000-0001-8279-9298
https://database.factgrid.de/entity/Q396638,Ingo Börner,Männliches Geschlecht,0000-0001-8294-2541
https://database.factgrid.de/entity/Q397674,Silke Schwandt,Weibliches Geschlecht,0000-0001-8303-4668
https://database.factgrid.de/entity/Q398766,Kai-Christian Bruhn,Männliches Geschlecht,0000-0001-8322-1260
https://database.factgrid.de/entity/Q1380275,Linnaea Charlotte Söhn,Weibliches Geschlecht,0000-0001-8341-1187
https://database.factgrid.de/entity/Q396628,Christopher Pietsch,Männliches Geschlecht,0000-0001-8371-4161
https://database.factgrid.de/entity/Q396634,Johanna Barzen,Weibliches Geschlecht,0000-0001-8397-7973
https://database.factgrid.de/entity/Q396739,Eva Mayr,Weibliches Geschlecht,0000-0001-8402-5990
https://database.factgrid.de/entity/Q398026,Julian Jarosch,Männliches Geschlecht,0000-0001-8483-8123
https://database.factgrid.de/entity/Q396705,Stefan Alschner,Männliches Geschlecht,0000-0001-8509-8171
https://database.factgrid.de/entity/Q397526,Kristina Richts-Matthaei,Weibliches Geschlecht,0000-0001-8569-1995
https://database.factgrid.de/entity/Q1380140,Sophie Eckenstaler,Weibliches Geschlecht,0000-0001-8633-0120
https://database.factgrid.de/entity/Q1380375,Stefan Höltgen,Männliches Geschlecht,0000-0001-8669-8507
https://database.factgrid.de/entity/Q396740,Johannes Liem,Männliches Geschlecht,0000-0001-8696-0245
https://database.factgrid.de/entity/Q396672,Silvia Eunice Gutiérrez De la Torre,Weibliches Geschlecht,0000-0001-8717-2291
https://database.factgrid.de/entity/Q396763,Marcus Pöckelmann,Männliches Geschlecht,0000-0001-8718-1198
https://database.factgrid.de/entity/Q397436,Nora Ketschik,Weibliches Geschlecht,0000-0001-8758-5432
https://database.factgrid.de/entity/Q349959,Jörg Hörnschemeyer,Männliches Geschlecht,0000-0001-8788-5718
https://database.factgrid.de/entity/Q397714,Tessa Gengnagel,Weibliches Geschlecht,0000-0001-8820-5112
https://database.factgrid.de/entity/Q949735,Constanze Buyken,Weibliches Geschlecht,0000-0001-8826-952X
https://database.factgrid.de/entity/Q396621,Evelyn Gius,Weibliches Geschlecht,0000-0001-8888-8419
https://database.factgrid.de/entity/Q396738,Dennis Mischke,Männliches Geschlecht,0000-0001-8892-5419
https://database.factgrid.de/entity/Q1380394,Ilias Kyriazis,Männliches Geschlecht,0000-0001-8958-0168
https://database.factgrid.de/entity/Q1380271,Petra Steiner,Weibliches Geschlecht,0000-0001-8997-2620
https://database.factgrid.de/entity/Q398524,Marc Kupietz,Männliches Geschlecht,0000-0001-8997-8256
https://database.factgrid.de/entity/Q396556,Zoe Schubert,Weibliches Geschlecht,0000-0001-9043-3632
https://database.factgrid.de/entity/Q396618,Heiner Fangerau,Männliches Geschlecht,0000-0001-9065-3395
https://database.factgrid.de/entity/Q396780,Jasper Stratil,Männliches Geschlecht,0000-0001-9091-8410
https://database.factgrid.de/entity/Q390625,Clemens Beckstein,Männliches Geschlecht,0000-0001-9099-7569
https://database.factgrid.de/entity/Q396558,Elisabeth Steiner,Weibliches Geschlecht,0000-0001-9116-0402
https://database.factgrid.de/entity/Q396650,Frederik Elwert,Männliches Geschlecht,0000-0001-9149-9377
https://database.factgrid.de/entity/Q11298,Olaf Simons,Männliches Geschlecht,0000-0001-9230-4666
https://database.factgrid.de/entity/Q398108,Martin Fechner,Männliches Geschlecht,0000-0001-9233-0653
https://database.factgrid.de/entity/Q396808,Paul Spence,Männliches Geschlecht,0000-0001-9236-2727
https://database.factgrid.de/entity/Q397500,Lino Wehrheim,Männliches Geschlecht,0000-0001-9269-8116
https://database.factgrid.de/entity/Q396747,David Maus,Männliches Geschlecht,0000-0001-9292-5673
https://database.factgrid.de/entity/Q1380169,Myrjam Hostettler,Weibliches Geschlecht,0000-0001-9316-6330
https://database.factgrid.de/entity/Q397428,Sander Münster,Männliches Geschlecht,0000-0001-9344-912X
https://database.factgrid.de/entity/Q1380340,George Dogaru,Männliches Geschlecht,0000-0001-9500-9638
https://database.factgrid.de/entity/Q1380290,Aengus Ward,Männliches Geschlecht,0000-0001-9526-0718
https://database.factgrid.de/entity/Q989329,Meike Hopp,Weibliches Geschlecht,0000-0001-9590-304X
https://database.factgrid.de/entity/Q397648,Henrike Fricke-Steyer,Weibliches Geschlecht,0000-0001-9677-3566
https://database.factgrid.de/entity/Q396796,Stefan Schmunk,Männliches Geschlecht,0000-0001-9706-9757
https://database.factgrid.de/entity/Q396787,Sabine Seifert,Weibliches Geschlecht,0000-0001-9847-8245
https://database.factgrid.de/entity/Q397912,Piotr Kuroczyński,Männliches Geschlecht,0000-0001-9847-8368
https://database.factgrid.de/entity/Q1380337,Adrian Demleitner,Männliches Geschlecht,0000-0001-9918-7300
https://database.factgrid.de/entity/Q1380154,Eva-Maria Gerstner,Weibliches Geschlecht,0000-0001-9920-4238
https://database.factgrid.de/entity/Q989330,Stefan Schellhammer,Männliches Geschlecht,0000-0001-9954-7695
https://database.factgrid.de/entity/Q949081,Etienne Posthumus,Männliches Geschlecht,0000-0002-0006-7542
https://database.factgrid.de/entity/Q248829,Joëlle Weis,Weibliches Geschlecht,0000-0002-0080-4362
https://database.factgrid.de/entity/Q396541,Erik Radisch,Männliches Geschlecht,0000-0002-0089-9082
https://database.factgrid.de/entity/Q398120,Juan Garcés,Männliches Geschlecht,0000-0002-0098-0219
https://database.factgrid.de/entity/Q396788,Dario Kampkaspar,Männliches Geschlecht,0000-0002-0118-0811
https://database.factgrid.de/entity/Q396743,Simon Meier-Vieracker,Männliches Geschlecht,0000-0002-0141-9327
https://database.factgrid.de/entity/Q1380416,Paul M. Näger,Männliches Geschlecht,0000-0002-0251-2531
https://database.factgrid.de/entity/Q398143,Andreas Witt,Männliches Geschlecht,0000-0002-0299-5713
https://database.factgrid.de/entity/Q989547,Britta Petersen,Weibliches Geschlecht,0000-0002-0355-2594
https://database.factgrid.de/entity/Q396610,Frederik Arnold,Männliches Geschlecht,0000-0002-0417-4054
https://database.factgrid.de/entity/Q1380176,Jan Kamlah,Männliches Geschlecht,0000-0002-0417-7562
https://database.factgrid.de/entity/Q398257,Claudia Sojer,Weibliches Geschlecht,0000-0002-0450-6493
https://database.factgrid.de/entity/Q989331,Jonathan D. Geiger,Männliches Geschlecht,0000-0002-0452-7075
https://database.factgrid.de/entity/Q396792,Stefan Büdenbender,Männliches Geschlecht,0000-0002-0478-0396
https://database.factgrid.de/entity/Q398328,Robert Klugseder,Männliches Geschlecht,0000-0002-0484-832X
