author,authorLabel,pubCount
https://database.factgrid.de/entity/Q396441,Marten Düring,7
https://database.factgrid.de/entity/Q396665,Jonas Müller-Laackman,7
https://database.factgrid.de/entity/Q396670,Lisa Dieckmann,7
https://database.factgrid.de/entity/Q396673,Angelika Zirker,7
https://database.factgrid.de/entity/Q396681,Danah Tonne,7
https://database.factgrid.de/entity/Q397506,Andreas Henrich,7
https://database.factgrid.de/entity/Q396527,Alexander Czmiel,7
https://database.factgrid.de/entity/Q397384,Alois Pichler,7
https://database.factgrid.de/entity/Q396763,Marcus Pöckelmann,7
https://database.factgrid.de/entity/Q398108,Martin Fechner,7
https://database.factgrid.de/entity/Q397838,Rabea Kleymann,7
https://database.factgrid.de/entity/Q396558,Elisabeth Steiner,7
https://database.factgrid.de/entity/Q396475,Ralph Ewerth,7
https://database.factgrid.de/entity/Q396785,Vanessa Hannesschläger,7
https://database.factgrid.de/entity/Q398103,Cristina Vertan,7
https://database.factgrid.de/entity/Q397640,Helmut W. Klug,7
https://database.factgrid.de/entity/Q397654,Claudia Resch,7
https://database.factgrid.de/entity/Q398372,Klaus Thoden,7
https://database.factgrid.de/entity/Q397948,Alexander Mehler,7
https://database.factgrid.de/entity/Q397954,Thomas Kollatz,7
https://database.factgrid.de/entity/Q398216,Jannik Strötgen,7
https://database.factgrid.de/entity/Q398373,Juliane Stiller,7
https://database.factgrid.de/entity/Q397716,Daniela Schulz,7
https://database.factgrid.de/entity/Q397780,Sarah Wagner,7
https://database.factgrid.de/entity/Q425619,Anja Gerber,7
https://database.factgrid.de/entity/Q398573,Immanuel Normann,7
https://database.factgrid.de/entity/Q396642,Carolin Odebrecht,6
https://database.factgrid.de/entity/Q396646,Keli Du,6
https://database.factgrid.de/entity/Q396766,Klaus Rettinghaus,6
https://database.factgrid.de/entity/Q397414,Patrick Dinger,6
https://database.factgrid.de/entity/Q396518,Cindy Kroeber,6
https://database.factgrid.de/entity/Q397466,Günther Görz,6
https://database.factgrid.de/entity/Q397870,Torsten Schaßan,6
https://database.factgrid.de/entity/Q397534,Annelen Brunner,6
https://database.factgrid.de/entity/Q397548,Martina Gödel,6
https://database.factgrid.de/entity/Q397532,Marcus Willand,6
https://database.factgrid.de/entity/Q1380333,Q1380333,6
https://database.factgrid.de/entity/Q396697,Clemens Neudecker,6
https://database.factgrid.de/entity/Q397556,Susanne Haaf,6
https://database.factgrid.de/entity/Q397588,Peter Leinen,6
https://database.factgrid.de/entity/Q396514,Marina Lemaire,6
https://database.factgrid.de/entity/Q396568,Pawel Kamocki,6
https://database.factgrid.de/entity/Q396745,Michael Vauth,6
https://database.factgrid.de/entity/Q396787,Sabine Seifert,6
https://database.factgrid.de/entity/Q396791,Andrea Rapp,6
https://database.factgrid.de/entity/Q396797,Thomas Stäcker,6
https://database.factgrid.de/entity/Q398421,Nils-Oliver Walkowski,6
https://database.factgrid.de/entity/Q396630,Anna Busch,6
https://database.factgrid.de/entity/Q396734,Sarah Lang,6
https://database.factgrid.de/entity/Q396521,Florian Niebling,6
https://database.factgrid.de/entity/Q397993,Andreas Hotho,6
https://database.factgrid.de/entity/Q396724,Anja Müller,6
https://database.factgrid.de/entity/Q398044,Chris Biemann,6
https://database.factgrid.de/entity/Q397828,Johannes Kepper,6
https://database.factgrid.de/entity/Q398403,Christian Thomas,6
https://database.factgrid.de/entity/Q397978,Mareike König,6
https://database.factgrid.de/entity/Q398191,Georg Schelbert,6
https://database.factgrid.de/entity/Q396613,Mark-Jan Bludau,5
https://database.factgrid.de/entity/Q396622,Malte Meister,5
https://database.factgrid.de/entity/Q396424,Sandra Richter,5
https://database.factgrid.de/entity/Q396643,Katrin Dennerlein,5
https://database.factgrid.de/entity/Q396434,Jan Bigalke,5
https://database.factgrid.de/entity/Q397404,Martin Scholz,5
https://database.factgrid.de/entity/Q396696,Lena Hinrichsen,5
https://database.factgrid.de/entity/Q397650,Lisa Klaffki,5
https://database.factgrid.de/entity/Q396783,Hubertus Kohle,5
https://database.factgrid.de/entity/Q397748,Simon Donig,5
https://database.factgrid.de/entity/Q397754,Siegfried Handschuh,5
https://database.factgrid.de/entity/Q397788,Peggy Große,5
https://database.factgrid.de/entity/Q397929,Christian Prager,5
https://database.factgrid.de/entity/Q396654,Klaus Illmayer,5
https://database.factgrid.de/entity/Q396458,Dennis Möbus,5
https://database.factgrid.de/entity/Q396465,Claus-Michael Schlesinger,5
https://database.factgrid.de/entity/Q396692,Jan Hess,5
https://database.factgrid.de/entity/Q396694,Konstantin Baierer,5
https://database.factgrid.de/entity/Q396529,Øyvind Eide,5
https://database.factgrid.de/entity/Q396537,Anke Lüdeling,5
https://database.factgrid.de/entity/Q396754,Torsten Hiltmann,5
https://database.factgrid.de/entity/Q397518,Timo Homburg,5
https://database.factgrid.de/entity/Q397564,Julian Schulz,5
https://database.factgrid.de/entity/Q396775,Ina Blümel,5
https://database.factgrid.de/entity/Q396781,Philipp Schneider,5
https://database.factgrid.de/entity/Q398068,Kay-Michael Würzner,5
https://database.factgrid.de/entity/Q398074,Claudia Müller-Birn,5
https://database.factgrid.de/entity/Q398094,Thierry Declerck,5
https://database.factgrid.de/entity/Q396740,Johannes Liem,5
https://database.factgrid.de/entity/Q397982,Rita Hartel,5
https://database.factgrid.de/entity/Q396517,Jonas Bruschke,5
https://database.factgrid.de/entity/Q397744,Gertraud Koch,5
https://database.factgrid.de/entity/Q398017,Andreas Wagner,5
https://database.factgrid.de/entity/Q397952,Franziska Diehr,5
https://database.factgrid.de/entity/Q397818,Udo Hahn,5
https://database.factgrid.de/entity/Q397638,Christian Steiner,5
https://database.factgrid.de/entity/Q398020,Thorsten Vitt,5
https://database.factgrid.de/entity/Q397977,Markus Schnöpf,5
https://database.factgrid.de/entity/Q398054,Günther Schreder,5
https://database.factgrid.de/entity/Q398243,Barbara Aehnlich,5
https://database.factgrid.de/entity/Q398396,Daniel Kurzawe,5
https://database.factgrid.de/entity/Q398398,Gregor Wiedemann,5
https://database.factgrid.de/entity/Q398281,Matthias Bauer,5
https://database.factgrid.de/entity/Q398637,Thomas Bögel,5
https://database.factgrid.de/entity/Q398358,Dirk Wintergrün,5
https://database.factgrid.de/entity/Q398172,Gerhard Lauer,5
https://database.factgrid.de/entity/Q147709,Bärbel Kröger,5
https://database.factgrid.de/entity/Q398530,Gerhard Heyer,5
https://database.factgrid.de/entity/Q398230,Charlotte Schubert,5
https://database.factgrid.de/entity/Q398550,Claudia Bamberg,5
https://database.factgrid.de/entity/Q989349,Elisa Cugliana,5
https://database.factgrid.de/entity/Q1380232,Vera Piontkowitz,5
https://database.factgrid.de/entity/Q396407,Toni Bernhart,4
https://database.factgrid.de/entity/Q396616,Sandra Balck,4
https://database.factgrid.de/entity/Q396413,Sandra Bläß,4
https://database.factgrid.de/entity/Q396426,Carsten Milling,4
https://database.factgrid.de/entity/Q396435,Sviatoslav Drach,4
https://database.factgrid.de/entity/Q397378,Sabine Ullrich,4
https://database.factgrid.de/entity/Q396538,Axel Pichler,4
https://database.factgrid.de/entity/Q397408,Gerhard Kremer,4
https://database.factgrid.de/entity/Q397418,Robert Nasarek,4
https://database.factgrid.de/entity/Q397450,Vincent Christlein,4
https://database.factgrid.de/entity/Q396706,Marcus Baumgarten,4
https://database.factgrid.de/entity/Q397648,Henrike Fricke-Steyer,4
https://database.factgrid.de/entity/Q397872,Martin de la Iglesia,4
https://database.factgrid.de/entity/Q397896,Malte Rehbein,4
